#    L    TT             EE             BB             TE             PP             TP             EP          
    81    0.21525E+04    0.48543E+00    0.00000E+00   -0.11273E+02    0.11759E-06    0.48314E-03   -0.15052E-05
    82    0.21795E+04    0.50056E+00    0.00000E+00   -0.11843E+02    0.11690E-06    0.47643E-03   -0.14955E-05
    83    0.22067E+04    0.51579E+00    0.00000E+00   -0.12422E+02    0.11620E-06    0.46988E-03   -0.14850E-05
    84    0.22342E+04    0.53110E+00    0.00000E+00   -0.13008E+02    0.11551E-06    0.46347E-03   -0.14764E-05
    85    0.22618E+04    0.54648E+00    0.00000E+00   -0.13603E+02    0.11482E-06    0.45722E-03   -0.14721E-05
    86    0.22896E+04    0.56193E+00    0.00000E+00   -0.14205E+02    0.11413E-06    0.45112E-03   -0.14738E-05
    87    0.23179E+04    0.57742E+00    0.00000E+00   -0.14814E+02    0.11344E-06    0.44515E-03   -0.14806E-05
    88    0.23461E+04    0.59298E+00    0.00000E+00   -0.15429E+02    0.11275E-06    0.43933E-03   -0.14905E-05
    89    0.23747E+04    0.60858E+00    0.00000E+00   -0.16052E+02    0.11207E-06    0.43363E-03   -0.15019E-05
    90    0.24036E+04    0.62418E+00    0.00000E+00   -0.16681E+02    0.11139E-06    0.42804E-03   -0.15130E-05
    91    0.24325E+04    0.63979E+00    0.00000E+00   -0.17315E+02    0.11072E-06    0.42257E-03   -0.15222E-05
    92    0.24618E+04    0.65538E+00    0.00000E+00   -0.17954E+02    0.11004E-06    0.41721E-03   -0.15294E-05
    93    0.24914E+04    0.67094E+00    0.00000E+00   -0.18598E+02    0.10937E-06    0.41196E-03   -0.15348E-05
    94    0.25211E+04    0.68645E+00    0.00000E+00   -0.19247E+02    0.10870E-06    0.40681E-03   -0.15384E-05
    95    0.25510E+04    0.70190E+00    0.00000E+00   -0.19899E+02    0.10804E-06    0.40176E-03   -0.15404E-05
    96    0.25810E+04    0.71727E+00    0.00000E+00   -0.20555E+02    0.10738E-06    0.39681E-03   -0.15409E-05
    97    0.26114E+04    0.73255E+00    0.00000E+00   -0.21214E+02    0.10672E-06    0.39196E-03   -0.15400E-05
    98    0.26420E+04    0.74774E+00    0.00000E+00   -0.21874E+02    0.10607E-06    0.38720E-03   -0.15379E-05
    99    0.26727E+04    0.76279E+00    0.00000E+00   -0.22537E+02    0.10541E-06    0.38254E-03   -0.15347E-05
   100    0.27037E+04    0.77770E+00    0.00000E+00   -0.23200E+02    0.10477E-06    0.37797E-03   -0.15306E-05
   101    0.27348E+04    0.79253E+00    0.00000E+00   -0.23865E+02    0.10412E-06    0.37349E-03   -0.15255E-05
   102    0.27665E+04    0.80715E+00    0.00000E+00   -0.24530E+02    0.10348E-06    0.36909E-03   -0.15198E-05
   103    0.27981E+04    0.82160E+00    0.00000E+00   -0.25196E+02    0.10284E-06    0.36478E-03   -0.15134E-05
   104    0.28300E+04    0.83591E+00    0.00000E+00   -0.25860E+02    0.10221E-06    0.36055E-03   -0.15066E-05
   105    0.28619E+04    0.85000E+00    0.00000E+00   -0.26523E+02    0.10158E-06    0.35640E-03   -0.14994E-05
   106    0.28941E+04    0.86393E+00    0.00000E+00   -0.27184E+02    0.10096E-06    0.35232E-03   -0.14920E-05
   107    0.29263E+04    0.87756E+00    0.00000E+00   -0.27843E+02    0.10033E-06    0.34832E-03   -0.14845E-05
   108    0.29588E+04    0.89096E+00    0.00000E+00   -0.28500E+02    0.99717E-07    0.34440E-03   -0.14771E-05
   109    0.29915E+04    0.90406E+00    0.00000E+00   -0.29153E+02    0.99104E-07    0.34055E-03   -0.14698E-05
   110    0.30242E+04    0.91686E+00    0.00000E+00   -0.29800E+02    0.98494E-07    0.33676E-03   -0.14628E-05
   111    0.30571E+04    0.92944E+00    0.00000E+00   -0.30445E+02    0.97890E-07    0.33304E-03   -0.14562E-05
   112    0.30902E+04    0.94171E+00    0.00000E+00   -0.31085E+02    0.97289E-07    0.32939E-03   -0.14500E-05
   113    0.31235E+04    0.95368E+00    0.00000E+00   -0.31719E+02    0.96693E-07    0.32580E-03   -0.14441E-05
   114    0.31568E+04    0.96527E+00    0.00000E+00   -0.32346E+02    0.96100E-07    0.32227E-03   -0.14385E-05
   115    0.31904E+04    0.97664E+00    0.00000E+00   -0.32967E+02    0.95513E-07    0.31881E-03   -0.14332E-05
   116    0.32240E+04    0.98755E+00    0.00000E+00   -0.33580E+02    0.94929E-07    0.31540E-03   -0.14281E-05
   117    0.32579E+04    0.99809E+00    0.00000E+00   -0.34185E+02    0.94350E-07    0.31205E-03   -0.14231E-05
   118    0.32920E+04    0.10084E+01    0.00000E+00   -0.34783E+02    0.93774E-07    0.30876E-03   -0.14183E-05
   119    0.33260E+04    0.10183E+01    0.00000E+00   -0.35371E+02    0.93203E-07    0.30553E-03   -0.14136E-05
   120    0.33602E+04    0.10277E+01    0.00000E+00   -0.35949E+02    0.92636E-07    0.30235E-03   -0.14090E-05
   121    0.33944E+04    0.10369E+01    0.00000E+00   -0.36517E+02    0.92074E-07    0.29922E-03   -0.14043E-05
   122    0.34287E+04    0.10455E+01    0.00000E+00   -0.37074E+02    0.91515E-07    0.29615E-03   -0.13997E-05
   123    0.34631E+04    0.10537E+01    0.00000E+00   -0.37621E+02    0.90961E-07    0.29312E-03   -0.13950E-05
   124    0.34976E+04    0.10615E+01    0.00000E+00   -0.38154E+02    0.90411E-07    0.29014E-03   -0.13902E-05
   125    0.35320E+04    0.10689E+01    0.00000E+00   -0.38676E+02    0.89865E-07    0.28722E-03   -0.13852E-05
   126    0.35666E+04    0.10759E+01    0.00000E+00   -0.39186E+02    0.89323E-07    0.28433E-03   -0.13801E-05
   127    0.36011E+04    0.10823E+01    0.00000E+00   -0.39682E+02    0.88786E-07    0.28150E-03   -0.13747E-05
   128    0.36357E+04    0.10884E+01    0.00000E+00   -0.40165E+02    0.88252E-07    0.27870E-03   -0.13691E-05
   129    0.36704E+04    0.10939E+01    0.00000E+00   -0.40634E+02    0.87723E-07    0.27595E-03   -0.13632E-05
   130    0.37050E+04    0.10989E+01    0.00000E+00   -0.41087E+02    0.87197E-07    0.27324E-03   -0.13569E-05
