#    L    TT             EE             BB             TE          
   127    0.37244E+04    0.11177E+01    0.55664E-02   -0.40859E+02
   128    0.37601E+04    0.11240E+01    0.56571E-02   -0.41354E+02
   129    0.37960E+04    0.11297E+01    0.57569E-02   -0.41833E+02
   130    0.38319E+04    0.11350E+01    0.58523E-02   -0.42296E+02
   131    0.38677E+04    0.11398E+01    0.59425E-02   -0.42745E+02
   132    0.39036E+04    0.11441E+01    0.60371E-02   -0.43176E+02
   133    0.39395E+04    0.11479E+01    0.61369E-02   -0.43592E+02
   134    0.39753E+04    0.11512E+01    0.62411E-02   -0.43988E+02
   135    0.40112E+04    0.11540E+01    0.63496E-02   -0.44368E+02
   136    0.40469E+04    0.11563E+01    0.64516E-02   -0.44727E+02
   137    0.40826E+04    0.11580E+01    0.65546E-02   -0.45068E+02
   138    0.41182E+04    0.11593E+01    0.66516E-02   -0.45389E+02
   139    0.41537E+04    0.11602E+01    0.67610E-02   -0.45690E+02
   140    0.41892E+04    0.11604E+01    0.68707E-02   -0.45971E+02
   141    0.42244E+04    0.11601E+01    0.69816E-02   -0.46230E+02
   142    0.42597E+04    0.11593E+01    0.70862E-02   -0.46469E+02
   143    0.42949E+04    0.11581E+01    0.71956E-02   -0.46686E+02
   144    0.43299E+04    0.11563E+01    0.73027E-02   -0.46881E+02
   145    0.43648E+04    0.11541E+01    0.74183E-02   -0.47054E+02
   146    0.43998E+04    0.11513E+01    0.75312E-02   -0.47205E+02
   147    0.44344E+04    0.11481E+01    0.76415E-02   -0.47331E+02
   148    0.44688E+04    0.11444E+01    0.77500E-02   -0.47436E+02
   149    0.45032E+04    0.11402E+01    0.78661E-02   -0.47516E+02
   150    0.45373E+04    0.11356E+01    0.79835E-02   -0.47570E+02
   151    0.45713E+04    0.11305E+01    0.81051E-02   -0.47601E+02
   152    0.46049E+04    0.11249E+01    0.82183E-02   -0.47607E+02
   153    0.46385E+04    0.11189E+01    0.83389E-02   -0.47585E+02
   154    0.46718E+04    0.11125E+01    0.84571E-02   -0.47539E+02
   155    0.47048E+04    0.11057E+01    0.85799E-02   -0.47468E+02
   156    0.47375E+04    0.10986E+01    0.87103E-02   -0.47370E+02
   157    0.47701E+04    0.10910E+01    0.88378E-02   -0.47246E+02
   158    0.48024E+04    0.10831E+01    0.89609E-02   -0.47095E+02
   159    0.48343E+04    0.10748E+01    0.90880E-02   -0.46917E+02
   160    0.48660E+04    0.10662E+01    0.92194E-02   -0.46711E+02
   161    0.48975E+04    0.10573E+01    0.93456E-02   -0.46478E+02
   162    0.49286E+04    0.10481E+01    0.94788E-02   -0.46219E+02
   163    0.49596E+04    0.10386E+01    0.96100E-02   -0.45931E+02
   164    0.49900E+04    0.10288E+01    0.97393E-02   -0.45617E+02
   165    0.50203E+04    0.10187E+01    0.98733E-02   -0.45273E+02
   166    0.50502E+04    0.10085E+01    0.10010E-01   -0.44902E+02
   167    0.50799E+04    0.99790E+00    0.10152E-01   -0.44504E+02
   168    0.51090E+04    0.98730E+00    0.10295E-01   -0.44076E+02
   169    0.51379E+04    0.97641E+00    0.10436E-01   -0.43620E+02
   170    0.51663E+04    0.96544E+00    0.10572E-01   -0.43136E+02
   171    0.51943E+04    0.95441E+00    0.10709E-01   -0.42622E+02
   172    0.52219E+04    0.94323E+00    0.10847E-01   -0.42080E+02
   173    0.52490E+04    0.93190E+00    0.10992E-01   -0.41509E+02
   174    0.52758E+04    0.92073E+00    0.11136E-01   -0.40910E+02
   175    0.53021E+04    0.90942E+00    0.11284E-01   -0.40282E+02
   176    0.53279E+04    0.89818E+00    0.11430E-01   -0.39625E+02
   177    0.53533E+04    0.88696E+00    0.11582E-01   -0.38941E+02
   178    0.53782E+04    0.87597E+00    0.11730E-01   -0.38227E+02
   179    0.54026E+04    0.86491E+00    0.11882E-01   -0.37485E+02
   180    0.54267E+04    0.85402E+00    0.12032E-01   -0.36715E+02
   181    0.54502E+04    0.84329E+00    0.12186E-01   -0.35917E+02
   182    0.54733E+04    0.83279E+00    0.12341E-01   -0.35091E+02
   183    0.54958E+04    0.82246E+00    0.12494E-01   -0.34237E+02
   184    0.55179E+04    0.81238E+00    0.12645E-01   -0.33355E+02
   185    0.55395E+04    0.80267E+00    0.12803E-01   -0.32446E+02
   186    0.55602E+04    0.79322E+00    0.12963E-01   -0.31509E+02
   187    0.55808E+04    0.78417E+00    0.13120E-01   -0.30545E+02
   188    0.56008E+04    0.77550E+00    0.13275E-01   -0.29555E+02
   189    0.56202E+04    0.76724E+00    0.13437E-01   -0.28537E+02
   190    0.56393E+04    0.75946E+00    0.13597E-01   -0.27495E+02
   191    0.56576E+04    0.75218E+00    0.13758E-01   -0.26424E+02
   192    0.56754E+04    0.74542E+00    0.13921E-01   -0.25327E+02
   193    0.56926E+04    0.73923E+00    0.14081E-01   -0.24207E+02
   194    0.57094E+04    0.73365E+00    0.14243E-01   -0.23059E+02
   195    0.57256E+04    0.72870E+00    0.14405E-01   -0.21888E+02
   196    0.57411E+04    0.72442E+00    0.14571E-01   -0.20691E+02
   197    0.57562E+04    0.72087E+00    0.14738E-01   -0.19471E+02
   198    0.57706E+04    0.71807E+00    0.14905E-01   -0.18227E+02
   199    0.57845E+04    0.71605E+00    0.15072E-01   -0.16959E+02
   200    0.57979E+04    0.71485E+00    0.15242E-01   -0.15669E+02
   201    0.58106E+04    0.71454E+00    0.15410E-01   -0.14355E+02
   202    0.58227E+04    0.71511E+00    0.15582E-01   -0.13020E+02
   203    0.58342E+04    0.71663E+00    0.15754E-01   -0.11662E+02
   204    0.58450E+04    0.71912E+00    0.15925E-01   -0.10284E+02
   205    0.58553E+04    0.72264E+00    0.16099E-01   -0.88850E+01
   206    0.58648E+04    0.72721E+00    0.16272E-01   -0.74653E+01
   207    0.58737E+04    0.73287E+00    0.16447E-01   -0.60256E+01
   208    0.58819E+04    0.73966E+00    0.16622E-01   -0.45664E+01
   209    0.58895E+04    0.74762E+00    0.16799E-01   -0.30883E+01
   210    0.58964E+04    0.75678E+00    0.16979E-01   -0.15921E+01
   211    0.59027E+04    0.76719E+00    0.17160E-01   -0.77856E-01
   212    0.59082E+04    0.77888E+00    0.17337E-01    0.14534E+01
   213    0.59132E+04    0.79189E+00    0.17519E-01    0.30016E+01
   214    0.59174E+04    0.80622E+00    0.17700E-01    0.45657E+01
   215    0.59211E+04    0.82207E+00    0.17881E-01    0.61447E+01
   216    0.59240E+04    0.83924E+00    0.18060E-01    0.77393E+01
   217    0.59264E+04    0.85789E+00    0.18242E-01    0.93473E+01
   218    0.59281E+04    0.87803E+00    0.18427E-01    0.10969E+02
   219    0.59292E+04    0.89966E+00    0.18614E-01    0.12605E+02
   220    0.59296E+04    0.92293E+00    0.18798E-01    0.14252E+02
   221    0.59295E+04    0.94776E+00    0.18983E-01    0.15910E+02
   222    0.59287E+04    0.97431E+00    0.19171E-01    0.17580E+02
   223    0.59271E+04    0.10025E+01    0.19357E-01    0.19261E+02
   224    0.59251E+04    0.10323E+01    0.19541E-01    0.20950E+02
   225    0.59223E+04    0.10640E+01    0.19728E-01    0.22649E+02
   226    0.59190E+04    0.10974E+01    0.19915E-01    0.24355E+02
   227    0.59150E+04    0.11326E+01    0.20103E-01    0.26070E+02
   228    0.59104E+04    0.11696E+01    0.20293E-01    0.27792E+02
   229    0.59052E+04    0.12085E+01    0.20480E-01    0.29519E+02
   230    0.58993E+04    0.12492E+01    0.20668E-01    0.31252E+02
   231    0.58927E+04    0.12919E+01    0.20859E-01    0.32991E+02
   232    0.58856E+04    0.13365E+01    0.21049E-01    0.34733E+02
   233    0.58779E+04    0.13832E+01    0.21237E-01    0.36478E+02
   234    0.58694E+04    0.14318E+01    0.21427E-01    0.38225E+02
   235    0.58603E+04    0.14825E+01    0.21617E-01    0.39975E+02
   236    0.58506E+04    0.15352E+01    0.21810E-01    0.41725E+02
   237    0.58403E+04    0.15899E+01    0.22003E-01    0.43476E+02
   238    0.58293E+04    0.16469E+01    0.22196E-01    0.45226E+02
   239    0.58178E+04    0.17059E+01    0.22387E-01    0.46976E+02
   240    0.58055E+04    0.17670E+01    0.22576E-01    0.48722E+02
   241    0.57928E+04    0.18303E+01    0.22766E-01    0.50467E+02
   242    0.57794E+04    0.18958E+01    0.22955E-01    0.52207E+02
   243    0.57655E+04    0.19635E+01    0.23147E-01    0.53943E+02
   244    0.57509E+04    0.20334E+01    0.23338E-01    0.55675E+02
   245    0.57356E+04    0.21055E+01    0.23532E-01    0.57400E+02
   246    0.57198E+04    0.21799E+01    0.23724E-01    0.59120E+02
   247    0.57035E+04    0.22565E+01    0.23915E-01    0.60831E+02
   248    0.56866E+04    0.23357E+01    0.24107E-01    0.62534E+02
   249    0.56691E+04    0.24168E+01    0.24299E-01    0.64229E+02
   250    0.56510E+04    0.25005E+01    0.24490E-01    0.65914E+02
   251    0.56325E+04    0.25863E+01    0.24680E-01    0.67589E+02
   252    0.56132E+04    0.26746E+01    0.24869E-01    0.69253E+02
   253    0.55936E+04    0.27650E+01    0.25058E-01    0.70905E+02
   254    0.55734E+04    0.28579E+01    0.25249E-01    0.72543E+02
   255    0.55526E+04    0.29530E+01    0.25440E-01    0.74170E+02
   256    0.55314E+04    0.30507E+01    0.25631E-01    0.75783E+02
   257    0.55096E+04    0.31504E+01    0.25822E-01    0.77376E+02
   258    0.54874E+04    0.32527E+01    0.26011E-01    0.78960E+02
   259    0.54646E+04    0.33572E+01    0.26203E-01    0.80521E+02
   260    0.54415E+04    0.34641E+01    0.26397E-01    0.82074E+02
   261    0.54178E+04    0.35732E+01    0.26590E-01    0.83596E+02
   262    0.53935E+04    0.36848E+01    0.26783E-01    0.85109E+02
   263    0.53691E+04    0.37987E+01    0.26968E-01    0.86606E+02
   264    0.53441E+04    0.39149E+01    0.27156E-01    0.88080E+02
   265    0.53185E+04    0.40333E+01    0.27340E-01    0.89523E+02
   266    0.52926E+04    0.41542E+01    0.27522E-01    0.90958E+02
   267    0.52662E+04    0.42772E+01    0.27707E-01    0.92361E+02
   268    0.52394E+04    0.44027E+01    0.27888E-01    0.93748E+02
   269    0.52120E+04    0.45303E+01    0.28072E-01    0.95112E+02
   270    0.51844E+04    0.46602E+01    0.28254E-01    0.96452E+02
   271    0.51563E+04    0.47923E+01    0.28439E-01    0.97768E+02
   272    0.51280E+04    0.49268E+01    0.28624E-01    0.99053E+02
   273    0.50993E+04    0.50632E+01    0.28805E-01    0.10032E+03
   274    0.50702E+04    0.52020E+01    0.28986E-01    0.10155E+03
   275    0.50407E+04    0.53428E+01    0.29167E-01    0.10277E+03
   276    0.50109E+04    0.54858E+01    0.29347E-01    0.10394E+03
   277    0.49807E+04    0.56309E+01    0.29526E-01    0.10510E+03
   278    0.49503E+04    0.57781E+01    0.29701E-01    0.10622E+03
   279    0.49195E+04    0.59273E+01    0.29880E-01    0.10731E+03
   280    0.48885E+04    0.60785E+01    0.30057E-01    0.10838E+03
   281    0.48572E+04    0.62318E+01    0.30235E-01    0.10941E+03
   282    0.48255E+04    0.63869E+01    0.30415E-01    0.11042E+03
   283    0.47937E+04    0.65439E+01    0.30593E-01    0.11139E+03
   284    0.47616E+04    0.67029E+01    0.30764E-01    0.11233E+03
   285    0.47292E+04    0.68639E+01    0.30940E-01    0.11323E+03
   286    0.46965E+04    0.70266E+01    0.31113E-01    0.11410E+03
   287    0.46636E+04    0.71911E+01    0.31285E-01    0.11495E+03
   288    0.46306E+04    0.73573E+01    0.31459E-01    0.11576E+03
   289    0.45973E+04    0.75252E+01    0.31630E-01    0.11653E+03
   290    0.45638E+04    0.76947E+01    0.31801E-01    0.11727E+03
   291    0.45302E+04    0.78665E+01    0.31973E-01    0.11797E+03
   292    0.44961E+04    0.80394E+01    0.32144E-01    0.11864E+03
   293    0.44621E+04    0.82131E+01    0.32316E-01    0.11927E+03
   294    0.44279E+04    0.83891E+01    0.32485E-01    0.11987E+03
   295    0.43937E+04    0.85659E+01    0.32649E-01    0.12043E+03
   296    0.43592E+04    0.87449E+01    0.32814E-01    0.12096E+03
   297    0.43247E+04    0.89240E+01    0.32978E-01    0.12145E+03
   298    0.42899E+04    0.91053E+01    0.33145E-01    0.12190E+03
   299    0.42551E+04    0.92881E+01    0.33312E-01    0.12230E+03
