#    L    TT             EE             TE             PP             TP          
   123    0.34631E+04    0.10537E+01   -0.37621E+02    0.41773E+07    0.49590E+04
   124    0.34976E+04    0.10615E+01   -0.38154E+02    0.41526E+07    0.49092E+04
   125    0.35320E+04    0.10689E+01   -0.38676E+02    0.41280E+07    0.48601E+04
   126    0.35666E+04    0.10759E+01   -0.39186E+02    0.41036E+07    0.48118E+04
   127    0.36011E+04    0.10823E+01   -0.39682E+02    0.40795E+07    0.47642E+04
   128    0.36357E+04    0.10884E+01   -0.40165E+02    0.40554E+07    0.47173E+04
   129    0.36704E+04    0.10939E+01   -0.40634E+02    0.40316E+07    0.46712E+04
   130    0.37050E+04    0.10989E+01   -0.41087E+02    0.40079E+07    0.46257E+04
   131    0.37397E+04    0.11035E+01   -0.41526E+02    0.39844E+07    0.45809E+04
   132    0.37744E+04    0.11076E+01   -0.41948E+02    0.39611E+07    0.45367E+04
   133    0.38091E+04    0.11112E+01   -0.42356E+02    0.39380E+07    0.44932E+04
   134    0.38437E+04    0.11144E+01   -0.42745E+02    0.39150E+07    0.44502E+04
   135    0.38784E+04    0.11171E+01   -0.43117E+02    0.38922E+07    0.44079E+04
   136    0.39130E+04    0.11192E+01   -0.43470E+02    0.38696E+07    0.43662E+04
   137    0.39475E+04    0.11208E+01   -0.43806E+02    0.38472E+07    0.43251E+04
   138    0.39820E+04    0.11220E+01   -0.44122E+02    0.38249E+07    0.42845E+04
   139    0.40163E+04    0.11227E+01   -0.44419E+02    0.38028E+07    0.42446E+04
   140    0.40506E+04    0.11228E+01   -0.44697E+02    0.37809E+07    0.42051E+04
   141    0.40848E+04    0.11224E+01   -0.44954E+02    0.37591E+07    0.41662E+04
   142    0.41189E+04    0.11216E+01   -0.45190E+02    0.37375E+07    0.41279E+04
   143    0.41530E+04    0.11203E+01   -0.45406E+02    0.37161E+07    0.40900E+04
   144    0.41868E+04    0.11184E+01   -0.45601E+02    0.36949E+07    0.40527E+04
   145    0.42205E+04    0.11162E+01   -0.45773E+02    0.36738E+07    0.40158E+04
   146    0.42543E+04    0.11134E+01   -0.45924E+02    0.36528E+07    0.39795E+04
   147    0.42878E+04    0.11102E+01   -0.46052E+02    0.36321E+07    0.39436E+04
   148    0.43211E+04    0.11064E+01   -0.46158E+02    0.36115E+07    0.39081E+04
   149    0.43543E+04    0.11022E+01   -0.46240E+02    0.35911E+07    0.38731E+04
   150    0.43872E+04    0.10976E+01   -0.46297E+02    0.35708E+07    0.38386E+04
   151    0.44200E+04    0.10926E+01   -0.46332E+02    0.35507E+07    0.38045E+04
   152    0.44525E+04    0.10870E+01   -0.46342E+02    0.35308E+07    0.37708E+04
   153    0.44849E+04    0.10810E+01   -0.46326E+02    0.35110E+07    0.37375E+04
   154    0.45170E+04    0.10747E+01   -0.46286E+02    0.34914E+07    0.37046E+04
   155    0.45489E+04    0.10679E+01   -0.46221E+02    0.34719E+07    0.36721E+04
   156    0.45805E+04    0.10608E+01   -0.46132E+02    0.34526E+07    0.36400E+04
   157    0.46120E+04    0.10533E+01   -0.46015E+02    0.34334E+07    0.36083E+04
   158    0.46431E+04    0.10455E+01   -0.45873E+02    0.34144E+07    0.35769E+04
   159    0.46740E+04    0.10372E+01   -0.45706E+02    0.33956E+07    0.35460E+04
   160    0.47046E+04    0.10287E+01   -0.45511E+02    0.33769E+07    0.35154E+04
   161    0.47351E+04    0.10199E+01   -0.45291E+02    0.33584E+07    0.34851E+04
   162    0.47652E+04    0.10107E+01   -0.45044E+02    0.33400E+07    0.34552E+04
   163    0.47951E+04    0.10012E+01   -0.44771E+02    0.33217E+07    0.34257E+04
   164    0.48246E+04    0.99148E+00   -0.44471E+02    0.33036E+07    0.33965E+04
   165    0.48539E+04    0.98145E+00   -0.44144E+02    0.32857E+07    0.33676E+04
   166    0.48830E+04    0.97127E+00   -0.43790E+02    0.32679E+07    0.33391E+04
   167    0.49117E+04    0.96071E+00   -0.43410E+02    0.32502E+07    0.33109E+04
   168    0.49401E+04    0.95015E+00   -0.43002E+02    0.32327E+07    0.32830E+04
   169    0.49681E+04    0.93927E+00   -0.42566E+02    0.32153E+07    0.32554E+04
   170    0.49958E+04    0.92832E+00   -0.42103E+02    0.31981E+07    0.32281E+04
   171    0.50230E+04    0.91729E+00   -0.41611E+02    0.31810E+07    0.32011E+04
   172    0.50498E+04    0.90611E+00   -0.41091E+02    0.31641E+07    0.31743E+04
   173    0.50762E+04    0.89477E+00   -0.40545E+02    0.31472E+07    0.31479E+04
   174    0.51022E+04    0.88357E+00   -0.39970E+02    0.31306E+07    0.31217E+04
   175    0.51278E+04    0.87222E+00   -0.39367E+02    0.31140E+07    0.30958E+04
   176    0.51529E+04    0.86094E+00   -0.38736E+02    0.30976E+07    0.30702E+04
   177    0.51776E+04    0.84966E+00   -0.38079E+02    0.30813E+07    0.30448E+04
   178    0.52018E+04    0.83860E+00   -0.37393E+02    0.30652E+07    0.30197E+04
   179    0.52256E+04    0.82746E+00   -0.36678E+02    0.30492E+07    0.29948E+04
   180    0.52490E+04    0.81646E+00   -0.35937E+02    0.30333E+07    0.29702E+04
   181    0.52719E+04    0.80562E+00   -0.35169E+02    0.30175E+07    0.29458E+04
   182    0.52943E+04    0.79499E+00   -0.34373E+02    0.30019E+07    0.29217E+04
   183    0.53162E+04    0.78452E+00   -0.33550E+02    0.29864E+07    0.28978E+04
   184    0.53377E+04    0.77426E+00   -0.32699E+02    0.29710E+07    0.28741E+04
   185    0.53587E+04    0.76438E+00   -0.31824E+02    0.29557E+07    0.28506E+04
   186    0.53788E+04    0.75473E+00   -0.30920E+02    0.29406E+07    0.28274E+04
   187    0.53988E+04    0.74546E+00   -0.29989E+02    0.29256E+07    0.28044E+04
   188    0.54183E+04    0.73654E+00   -0.29033E+02    0.29107E+07    0.27816E+04
   189    0.54371E+04    0.72802E+00   -0.28050E+02    0.28959E+07    0.27591E+04
   190    0.54558E+04    0.71995E+00   -0.27043E+02    0.28813E+07    0.27367E+04
   191    0.54736E+04    0.71235E+00   -0.26009E+02    0.28667E+07    0.27146E+04
   192    0.54909E+04    0.70525E+00   -0.24949E+02    0.28523E+07    0.26926E+04
   193    0.55077E+04    0.69869E+00   -0.23866E+02    0.28380E+07    0.26709E+04
   194    0.55241E+04    0.69270E+00   -0.22757E+02    0.28238E+07    0.26493E+04
   195    0.55398E+04    0.68731E+00   -0.21624E+02    0.28097E+07    0.26280E+04
   196    0.55550E+04    0.68258E+00   -0.20466E+02    0.27957E+07    0.26068E+04
   197    0.55697E+04    0.67853E+00   -0.19286E+02    0.27819E+07    0.25858E+04
   198    0.55838E+04    0.67520E+00   -0.18082E+02    0.27681E+07    0.25650E+04
   199    0.55974E+04    0.67262E+00   -0.16855E+02    0.27545E+07    0.25444E+04
   200    0.56105E+04    0.67082E+00   -0.15607E+02    0.27409E+07    0.25240E+04
   201    0.56230E+04    0.66986E+00   -0.14335E+02    0.27275E+07    0.25037E+04
   202    0.56350E+04    0.66975E+00   -0.13042E+02    0.27142E+07    0.24836E+04
   203    0.56463E+04    0.67056E+00   -0.11726E+02    0.27009E+07    0.24636E+04
   204    0.56570E+04    0.67229E+00   -0.10392E+02    0.26878E+07    0.24439E+04
   205    0.56671E+04    0.67501E+00   -0.90364E+01    0.26748E+07    0.24243E+04
   206    0.56765E+04    0.67874E+00   -0.76607E+01    0.26619E+07    0.24048E+04
   207    0.56854E+04    0.68351E+00   -0.62654E+01    0.26490E+07    0.23856E+04
   208    0.56936E+04    0.68937E+00   -0.48510E+01    0.26363E+07    0.23665E+04
   209    0.57011E+04    0.69635E+00   -0.34179E+01    0.26237E+07    0.23475E+04
   210    0.57081E+04    0.70450E+00   -0.19671E+01    0.26112E+07    0.23287E+04
   211    0.57144E+04    0.71384E+00   -0.49852E+00    0.25987E+07    0.23101E+04
   212    0.57200E+04    0.72442E+00    0.98678E+00    0.25864E+07    0.22916E+04
   213    0.57250E+04    0.73626E+00    0.24889E+01    0.25742E+07    0.22732E+04
   214    0.57294E+04    0.74938E+00    0.40065E+01    0.25620E+07    0.22550E+04
   215    0.57331E+04    0.76395E+00    0.55390E+01    0.25500E+07    0.22370E+04
   216    0.57362E+04    0.77981E+00    0.70868E+01    0.25380E+07    0.22191E+04
   217    0.57388E+04    0.79709E+00    0.86479E+01    0.25261E+07    0.22014E+04
   218    0.57406E+04    0.81581E+00    0.10223E+02    0.25144E+07    0.21838E+04
   219    0.57419E+04    0.83596E+00    0.11812E+02    0.25027E+07    0.21663E+04
   220    0.57425E+04    0.85770E+00    0.13411E+02    0.24911E+07    0.21490E+04
   221    0.57425E+04    0.88095E+00    0.15022E+02    0.24796E+07    0.21319E+04
   222    0.57420E+04    0.90585E+00    0.16644E+02    0.24681E+07    0.21148E+04
   223    0.57406E+04    0.93234E+00    0.18278E+02    0.24568E+07    0.20979E+04
   224    0.57388E+04    0.96042E+00    0.19919E+02    0.24455E+07    0.20812E+04
   225    0.57364E+04    0.99024E+00    0.21571E+02    0.24344E+07    0.20645E+04
   226    0.57333E+04    0.10218E+01    0.23229E+02    0.24233E+07    0.20480E+04
   227    0.57295E+04    0.10551E+01    0.24897E+02    0.24123E+07    0.20317E+04
   228    0.57252E+04    0.10901E+01    0.26571E+02    0.24014E+07    0.20154E+04
   229    0.57203E+04    0.11269E+01    0.28251E+02    0.23905E+07    0.19993E+04
   230    0.57147E+04    0.11656E+01    0.29936E+02    0.23798E+07    0.19834E+04
   231    0.57085E+04    0.12061E+01    0.31628E+02    0.23691E+07    0.19675E+04
   232    0.57017E+04    0.12485E+01    0.33323E+02    0.23585E+07    0.19518E+04
   233    0.56943E+04    0.12929E+01    0.35020E+02    0.23480E+07    0.19362E+04
   234    0.56861E+04    0.13392E+01    0.36721E+02    0.23375E+07    0.19207E+04
   235    0.56774E+04    0.13874E+01    0.38423E+02    0.23272E+07    0.19053E+04
   236    0.56680E+04    0.14376E+01    0.40127E+02    0.23169E+07    0.18900E+04
   237    0.56580E+04    0.14899E+01    0.41831E+02    0.23067E+07    0.18749E+04
   238    0.56474E+04    0.15443E+01    0.43535E+02    0.22965E+07    0.18599E+04
   239    0.56363E+04    0.16006E+01    0.45239E+02    0.22865E+07    0.18449E+04
   240    0.56244E+04    0.16590E+01    0.46940E+02    0.22765E+07    0.18301E+04
   241    0.56120E+04    0.17196E+01    0.48638E+02    0.22665E+07    0.18154E+04
   242    0.55991E+04    0.17822E+01    0.50334E+02    0.22567E+07    0.18008E+04
   243    0.55855E+04    0.18470E+01    0.52025E+02    0.22469E+07    0.17864E+04
   244    0.55713E+04    0.19140E+01    0.53713E+02    0.22372E+07    0.17720E+04
   245    0.55565E+04    0.19831E+01    0.55393E+02    0.22275E+07    0.17577E+04
   246    0.55412E+04    0.20545E+01    0.57069E+02    0.22179E+07    0.17435E+04
   247    0.55254E+04    0.21279E+01    0.58737E+02    0.22084E+07    0.17294E+04
   248    0.55089E+04    0.22039E+01    0.60398E+02    0.21990E+07    0.17154E+04
   249    0.54920E+04    0.22818E+01    0.62051E+02    0.21896E+07    0.17016E+04
   250    0.54745E+04    0.23622E+01    0.63694E+02    0.21803E+07    0.16878E+04
   251    0.54565E+04    0.24446E+01    0.65328E+02    0.21710E+07    0.16741E+04
   252    0.54378E+04    0.25295E+01    0.66952E+02    0.21618E+07    0.16605E+04
   253    0.54188E+04    0.26164E+01    0.68563E+02    0.21527E+07    0.16469E+04
   254    0.53992E+04    0.27058E+01    0.70163E+02    0.21436E+07    0.16335E+04
   255    0.53791E+04    0.27973E+01    0.71751E+02    0.21346E+07    0.16202E+04
   256    0.53585E+04    0.28913E+01    0.73326E+02    0.21256E+07    0.16069E+04
   257    0.53375E+04    0.29873E+01    0.74882E+02    0.21167E+07    0.15938E+04
   258    0.53159E+04    0.30858E+01    0.76430E+02    0.21079E+07    0.15807E+04
   259    0.52939E+04    0.31865E+01    0.77955E+02    0.20991E+07    0.15677E+04
   260    0.52715E+04    0.32896E+01    0.79473E+02    0.20904E+07    0.15549E+04
   261    0.52485E+04    0.33948E+01    0.80961E+02    0.20817E+07    0.15421E+04
   262    0.52250E+04    0.35024E+01    0.82441E+02    0.20731E+07    0.15293E+04
   263    0.52014E+04    0.36122E+01    0.83906E+02    0.20646E+07    0.15167E+04
   264    0.51772E+04    0.37243E+01    0.85349E+02    0.20561E+07    0.15042E+04
   265    0.51524E+04    0.38386E+01    0.86761E+02    0.20476E+07    0.14917E+04
   266    0.51273E+04    0.39554E+01    0.88166E+02    0.20393E+07    0.14794E+04
   267    0.51017E+04    0.40741E+01    0.89541E+02    0.20309E+07    0.14671E+04
   268    0.50757E+04    0.41953E+01    0.90901E+02    0.20227E+07    0.14549E+04
   269    0.50491E+04    0.43186E+01    0.92238E+02    0.20145E+07    0.14428E+04
   270    0.50224E+04    0.44441E+01    0.93553E+02    0.20063E+07    0.14307E+04
   271    0.49952E+04    0.45718E+01    0.94844E+02    0.19982E+07    0.14188E+04
   272    0.49677E+04    0.47018E+01    0.96106E+02    0.19901E+07    0.14069E+04
   273    0.49398E+04    0.48337E+01    0.97353E+02    0.19821E+07    0.13951E+04
   274    0.49116E+04    0.49680E+01    0.98562E+02    0.19742E+07    0.13834E+04
   275    0.48830E+04    0.51042E+01    0.99755E+02    0.19663E+07    0.13718E+04
   276    0.48541E+04    0.52425E+01    0.10091E+03    0.19584E+07    0.13603E+04
   277    0.48249E+04    0.53829E+01    0.10205E+03    0.19506E+07    0.13488E+04
   278    0.47953E+04    0.55254E+01    0.10316E+03    0.19429E+07    0.13374E+04
   279    0.47655E+04    0.56698E+01    0.10423E+03    0.19352E+07    0.13261E+04
   280    0.47354E+04    0.58163E+01    0.10529E+03    0.19275E+07    0.13149E+04
   281    0.47051E+04    0.59647E+01    0.10631E+03    0.19199E+07    0.13037E+04
   282    0.46744E+04    0.61150E+01    0.10729E+03    0.19124E+07    0.12926E+04
   283    0.46435E+04    0.62671E+01    0.10825E+03    0.19048E+07    0.12816E+04
   284    0.46123E+04    0.64212E+01    0.10918E+03    0.18974E+07    0.12707E+04
   285    0.45810E+04    0.65772E+01    0.11008E+03    0.18900E+07    0.12599E+04
