#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    96    0.26640E+04   -0.21226E+02    0.41819E-05   -0.21226E+02    0.73789E+00   -0.15064E-07    0.41819E-05   -0.15064E-07    0.11690E-10
    97    0.26955E+04   -0.21906E+02    0.40885E-05   -0.21906E+02    0.75361E+00   -0.14920E-07    0.40885E-05   -0.14920E-07    0.11380E-10
    98    0.27273E+04   -0.22586E+02    0.39980E-05   -0.22586E+02    0.76923E+00   -0.14777E-07    0.39980E-05   -0.14777E-07    0.11081E-10
    99    0.27592E+04   -0.23270E+02    0.39101E-05   -0.23270E+02    0.78472E+00   -0.14635E-07    0.39101E-05   -0.14635E-07    0.10792E-10
   100    0.27914E+04   -0.23953E+02    0.38250E-05   -0.23953E+02    0.80006E+00   -0.14492E-07    0.38250E-05   -0.14492E-07    0.10512E-10
   101    0.28237E+04   -0.24638E+02    0.37424E-05   -0.24638E+02    0.81533E+00   -0.14350E-07    0.37424E-05   -0.14350E-07    0.10241E-10
   102    0.28566E+04   -0.25324E+02    0.36623E-05   -0.25324E+02    0.83037E+00   -0.14209E-07    0.36623E-05   -0.14209E-07    0.99799E-11
   103    0.28893E+04   -0.26010E+02    0.35846E-05   -0.26010E+02    0.84526E+00   -0.14067E-07    0.35846E-05   -0.14067E-07    0.97269E-11
   104    0.29224E+04   -0.26694E+02    0.35092E-05   -0.26694E+02    0.85999E+00   -0.13926E-07    0.35092E-05   -0.13926E-07    0.94822E-11
   105    0.29555E+04   -0.27377E+02    0.34361E-05   -0.27377E+02    0.87448E+00   -0.13785E-07    0.34361E-05   -0.13785E-07    0.92456E-11
   106    0.29889E+04   -0.28058E+02    0.33651E-05   -0.28058E+02    0.88882E+00   -0.13645E-07    0.33651E-05   -0.13645E-07    0.90167E-11
   107    0.30223E+04   -0.28737E+02    0.32963E-05   -0.28737E+02    0.90285E+00   -0.13504E-07    0.32963E-05   -0.13504E-07    0.87952E-11
   108    0.30560E+04   -0.29413E+02    0.32294E-05   -0.29413E+02    0.91665E+00   -0.13365E-07    0.32294E-05   -0.13365E-07    0.85810E-11
   109    0.30898E+04   -0.30086E+02    0.31645E-05   -0.30086E+02    0.93014E+00   -0.13225E-07    0.31645E-05   -0.13225E-07    0.83735E-11
   110    0.31238E+04   -0.30753E+02    0.31015E-05   -0.30753E+02    0.94331E+00   -0.13086E-07    0.31015E-05   -0.13086E-07    0.81726E-11
   111    0.31579E+04   -0.31417E+02    0.30401E-05   -0.31417E+02    0.95625E+00   -0.12947E-07    0.30401E-05   -0.12947E-07    0.79780E-11
   112    0.31922E+04   -0.32076E+02    0.29805E-05   -0.32076E+02    0.96888E+00   -0.12809E-07    0.29805E-05   -0.12809E-07    0.77893E-11
   113    0.32267E+04   -0.32729E+02    0.29225E-05   -0.32729E+02    0.98119E+00   -0.12671E-07    0.29225E-05   -0.12671E-07    0.76063E-11
   114    0.32613E+04   -0.33375E+02    0.28660E-05   -0.33375E+02    0.99312E+00   -0.12533E-07    0.28660E-05   -0.12533E-07    0.74286E-11
   115    0.32961E+04   -0.34014E+02    0.28110E-05   -0.34014E+02    0.10048E+01   -0.12396E-07    0.28110E-05   -0.12396E-07    0.72561E-11
   116    0.33310E+04   -0.34646E+02    0.27573E-05   -0.34646E+02    0.10160E+01   -0.12259E-07    0.27573E-05   -0.12259E-07    0.70884E-11
